wall_time,elapsed_s,pid,comm,score,confidence,mitigation,ticks,total_syscalls,futex,mmap,mprotect,clone,nanosleep,read,write,socket_calls,connect,send,recv,brk,thread_count,on_cpu_ns,voluntary_switches,involuntary_switches,total_connections,mining_pool_hits,total_mmap_bytes,scratchpad_allocs,huge_page_requests,large_alloc_count,mprotect_large,cpu_percent,reasons
1785609354.191,0.0,53415,cc1,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6568625,5,0,0,0,240389224,58,0,67,0,,
1785609354.191,0.0,53420,cc1,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115813,5,0,0,0,238423144,58,0,67,0,,
1785609354.191,0.0,53425,cc1,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5481695,3,0,0,0,239819880,58,0,67,0,,
1785609354.191,0.0,53428,cc1,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238914664,58,0,67,0,,
1785609354.191,0.0,53437,cc1,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5999314,8,0,0,0,239135848,58,0,68,0,,
1785609354.191,0.0,53448,cc1,0.0,NONE,NONE,0,1028,0,142,18,0,0,45,0,0,0,0,0,20,0,2270209,2,0,0,0,239864936,58,0,67,0,,
1785609354.191,0.0,53462,cc1,0.0,NONE,NONE,0,1010,0,131,18,0,0,45,0,0,0,0,0,16,0,6420878,9,0,0,0,240086120,58,0,67,0,,
1785609354.191,0.0,53480,cc1,0.0,NONE,NONE,0,980,0,110,18,0,0,45,0,0,0,0,0,14,0,5940315,10,0,0,0,240110696,58,0,67,0,,
1785609354.191,0.0,53489,cc1,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4570187,1,0,0,0,240344168,58,0,67,0,,
1785609354.191,0.0,53503,cc1,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5817350,7,0,0,0,238492776,58,0,67,0,,
1785609354.191,0.0,53514,cc1,0.0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5365637,7,0,0,0,238242920,58,0,67,0,,
